compound,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63
Nystatin dihydrate,1.3320615,0.044638976,0.058914945,-0.8023753,-1.3669533,0.6117993,0.026399067,-0.116480626,0.14247175,-0.7858753,-0.4531077,0.1880245,0.2532506,0.4038097,-0.8954216,0.65706027,-0.118003696,-0.23840062,0.97785276,-0.11076203,0.5017052,0.6962947,0.771463,-0.04782067,0.76916015,0.9367225,-0.29465508,0.7404125,-1.1183609,-1.1403712,0.020799363,0.009329279,0.597552,-0.2515477,-1.3553711,0.33832535,-0.85895133,-1.5014584,0.03676718,-0.81748825,0.6530616,-4.6358213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oligomycin,1.5750686,0.49560314,0.80534595,-0.40143067,-1.4033687,0.10500846,-0.5453467,-0.37556133,-0.44196013,-0.17071943,1.4832606,0.56264454,-0.1573502,0.76321656,-1.0754596,0.23418266,0.08282892,0.88654363,-0.00863323,0.19847679,-1.3698477,-0.7598991,-1.3600733,-0.33290482,-0.35697725,-1.177643,0.15524994,0.3380855,1.2513685,-0.4740394,-0.3647897,0.37455556,0.5567749,-1.5630184,0.10005475,-1.8698982,-1.8479344,1.3956785,1.9874231,2.6296756,0.10528828,-0.15188466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parthenolide,0.7024419,0.4374339,0.85772926,1.0008835,1.9590575,-0.4063583,0.21085091,-0.09489054,-0.4724919,0.0033025148,0.735429,1.1792386,0.80254716,0.3093521,-1.0212237,0.74626374,-0.17755406,0.34527367,-2.2972782,-0.09295299,-2.4099283,-0.092808,0.91220945,0.13384134,-1.1505342,1.8201092,-0.6149145,-0.3940679,-1.4382932,1.1412439,1.7237302,0.23832926,0.37798145,-1.8867285,-0.9458733,1.4662948,-0.15803733,0.38172978,-0.25048023,-0.46640158,-0.3934086,0.039109267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pentamidine isethionate,0.14791752,-0.3935188,-0.78194594,-0.008710134,-0.7151568,-0.7050529,0.46154532,0.41214576,-0.960213,-1.6785691,-0.46942484,-0.323665,-0.20670971,0.0028454652,1.0313511,-0.22881503,-0.388379,-1.4605241,0.5574436,-0.68595856,-0.20910904,0.6054064,0.5046012,-1.9997808,-1.627336,1.7152288,-0.022873936,-0.10110758,0.6695088,2.278586,0.31931677,0.057786115,0.658563,0.28869337,-1.2586975,-3.2436671,0.4753425,0.25077644,-1.5061569,0.5717157,0.09848671,0.0668089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plumbagin,-0.17171681,0.47308943,0.21724448,1.102806,1.6693563,-0.94601804,0.8811877,-0.4375389,-1.5242436,0.57457614,1.0185621,2.2745109,0.89613605,0.48433557,-0.27475733,-1.5400077,-0.17231004,1.1405561,0.14792214,0.29591686,0.1111765,1.3333381,0.2440926,0.44956058,1.2470709,1.1607702,-0.41731942,-0.66694295,0.9741488,-0.5357328,-0.67422605,-0.122103475,0.23503907,-0.96363676,1.4783171,-0.49972507,0.9205717,-0.80546266,0.28166747,-0.06378389,-0.19431254,-0.22565076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raloxifene hydrochloride,-0.3949921,0.8204116,0.5846667,-0.7342229,-0.36960784,0.3775862,0.10584177,1.0799308,-1.3843509,0.305594,-0.18886451,0.30683798,-0.7946154,0.40484825,1.2441735,0.06834165,0.10618089,0.020697864,-0.14237462,-1.7591667,0.4471877,0.36169267,0.5285189,-1.2776477,0.11096039,-0.7266703,0.68117326,-2.5850074,-0.7824678,1.313041,0.24058166,-0.6536869,-0.8633906,0.9503339,0.69775176,1.9010897,-3.0664818,-0.59329385,0.0029220695,1.0104073,1.38884,0.11744365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rapamycin,1.4242039,0.44304267,0.86241746,-0.35404155,-1.1857358,-0.11996605,-0.21418358,0.033121493,-0.85506105,-0.8294192,0.6405268,0.43249348,0.014492501,0.3429916,-0.27465254,0.34194797,0.026404789,0.55804956,-0.32363746,-0.13088338,-0.5979398,-0.1169653,-1.1934209,-0.19815099,0.38252494,-0.27106103,0.45026138,-1.4370918,0.72832257,-0.4656271,-1.2979459,-0.72630817,-0.15210687,0.011595381,1.8394873,-0.35269403,-0.18420878,0.651772,-2.5481696,-3.5230913,-2.1198301,0.085081905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDS,0.61487,-1.4412456,-2.6750271,-3.6035075,2.0751228,-1.579348,1.4191607,0.4919658,1.1696471,0.13645564,0.9064674,0.43592355,-0.57690144,1.352589,-1.3360418,0.40921104,0.11071576,-0.16084301,-0.1747795,-0.20263459,0.92723954,-0.17144495,-0.4904212,0.17049108,-0.87761074,0.12449841,0.07183986,-0.5404327,0.56266946,-0.21127433,0.023833808,-0.26025432,-0.5880278,-0.2723562,0.5195272,0.13248941,-0.11766233,-0.50295854,0.14189567,0.049965784,-0.21476139,0.10052839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorbitol,0.87607217,-1.5207125,-1.901502,1.4675403,-0.011567702,2.685952,0.45574313,-1.2867494,1.2479875,1.486206,-2.6002765,1.0506679,-0.36291373,0.42484662,-0.88539094,-0.9628138,0.95414215,0.026103254,0.2800977,-0.67605084,-1.796087,0.26912582,1.0275937,-0.8835912,-0.7289532,-1.2150612,0.42790347,-0.46442467,0.9169885,0.08563117,-0.16599084,-0.2858577,-0.18269546,-0.025742382,0.17662548,-0.10160336,-0.25603116,-0.006028445,0.014047604,-0.5583239,-0.059901062,0.12498605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staurosporine,-0.13503902,0.4772346,0.6437721,-1.3500382,-0.3530645,0.5904223,0.86024815,1.489614,0.57090163,0.86026806,-2.0423677,1.6211214,0.28859854,-0.21698269,2.644202,0.3236468,-1.7102892,0.2124335,-0.19441363,1.8044002,0.43309575,-0.99333966,1.2023368,1.6021808,-0.24434961,-0.42258286,-0.6754995,-0.1484738,0.24366678,-0.29695767,0.7491055,1.6403902,-0.528247,-1.4701345,0.36918795,-1.3665919,-0.72332555,-0.02717654,-0.04665678,-0.56026,-0.32721528,0.18503846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulfometuron methyl,-0.43800217,0.30342904,-0.209189,0.8939487,0.14885865,-1.9292133,0.8815573,-0.96901727,-0.28548637,-1.6369857,-0.78329116,-0.15365276,0.20182154,0.08924523,0.88743985,-0.029502042,-0.7380982,-1.910706,0.49200946,1.0953193,-0.49867514,-0.61755747,-0.24732856,-1.310297,-1.6592327,-1.5574502,0.8003472,0.9841056,0.40833765,-0.57854944,-0.9794466,1.1614097,2.0571396,-0.46145728,1.1484311,2.402262,-0.40144196,-0.9414734,0.8624876,-0.4162262,-0.18813017,-0.010314626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamoxifen,-1.0438205,0.858441,-0.95135427,-0.3262155,-0.74366647,0.42535406,-0.80075884,-0.7315591,0.015486307,0.8434052,0.64251506,0.8055608,-0.070790775,-1.7478268,-0.23056276,0.3209087,-0.74651384,-0.18273681,-0.44656438,-0.88393986,0.45267048,0.10272959,0.452966,0.4790997,-1.3387393,0.18990077,-0.91755563,0.45325783,0.42974627,-1.7080743,0.4479756,-0.52174395,-0.09673672,-0.10352048,-0.14368932,0.5525326,0.022892399,-0.37370977,-2.0142694,2.3898478,-3.033439,0.030737542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trichostatin A,-0.06942882,0.1342671,-1.2179986,0.7165456,-0.57443225,-1.169335,-0.49532875,-1.2951168,0.6858916,0.9989812,1.4095684,1.4942055,-1.2367419,-0.8302963,1.9434757,-0.38831118,0.9635983,0.6456055,-1.8046131,-0.06990095,0.31459123,-1.3460485,0.4370013,0.250983,0.8942313,1.499095,1.7146515,1.0616087,0.33289862,0.65759176,-2.4761643,0.2615477,-0.60575914,0.07715004,-1.3789443,-0.07298259,-0.6680877,-0.74696755,0.31299052,-0.60573936,0.36293867,-0.12721318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trifluoperazine dihydrochloride,-1.053003,0.25026703,0.016309274,-0.43425,0.38581142,0.09998187,-0.2762159,0.6125337,0.7366696,-0.30642202,-0.10502056,-0.97801447,1.959351,-1.3487836,0.05402523,0.5834214,1.8040476,0.8722476,0.41287526,0.47059864,-1.4293878,0.33731404,-0.6630643,-1.6032457,-0.1605715,0.65114164,1.6860312,-1.4880574,-0.7878134,-1.7348485,-0.5879226,2.589021,-1.8300749,-0.391001,0.2232414,-0.4844134,0.91930455,-0.9029684,-0.53083557,0.91931486,0.24025793,-0.17856616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunicamycin,1.164327,0.046874005,0.11545555,-0.49116507,-0.70257044,0.14952289,0.8561537,0.35224172,0.2618881,-0.5484653,-1.0860854,-0.54439795,-0.5181072,-0.07709301,0.51207083,0.2929883,0.9553881,-0.50713795,1.8937787,-1.0109422,-0.16806291,0.080156215,-0.51378596,1.5701003,0.9929248,1.363805,0.6856743,1.249901,0.7380857,1.1877756,-0.27685425,0.9699235,-0.94216627,-0.87205654,-0.12160308,2.7070565,0.7767762,2.8880434,-0.8432599,1.1707561,-0.2947517,0.22220208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-73122,0.04609287,0.5627493,0.97986937,-0.8626116,1.1988101,0.7755041,-0.11859383,1.3481691,-0.8247858,0.2461653,0.46069574,-0.6335856,-0.899613,0.30069825,0.7445802,-0.1589267,1.5997916,0.18971603,0.06328896,-0.52509665,-0.47836426,0.3202602,2.4763613,-0.72037697,-1.2759738,-0.100847244,-1.9680166,1.6296741,-1.0319836,-0.7770632,-2.8323622,-0.8456244,-0.09641285,0.06435175,1.2740172,-0.3625181,1.1612656,0.8177338,1.0110037,-0.1483023,-0.018261153,-0.10967249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valinomycin,1.4555395,0.22377042,-0.14808697,-0.26302007,-1.701593,-2.219514,0.66726077,-0.5083098,-1.3699256,2.9261568,-0.36772344,-2.4624417,0.21919833,-1.4242647,-1.0786852,-1.7719387,1.0067112,-0.86874324,-1.0543314,1.0625628,0.46969935,0.8785436,0.8328941,0.31337386,-0.07416419,-0.48332492,-0.4685407,-0.085749,-0.357028,0.29990497,0.93159336,0.48030734,-0.45902875,-0.33678648,0.39169547,-0.16210008,-0.1485941,-0.028178021,0.00918838,-0.2888883,0.059732236,0.0900746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wortmannin,0.5996677,0.43464023,0.8432239,0.8340776,1.2949649,-0.421388,0.86921835,0.6587557,-0.50311196,0.1474209,-0.45688245,-0.54280716,-0.79963803,0.3889436,0.030141743,-0.17811711,-0.6563656,2.2634594,0.24194217,0.7872311,0.1528434,2.0695577,-1.0208232,1.2998322,-2.267172,-0.74230975,0.9819663,0.30762237,0.6432034,-0.7926037,-0.4897624,0.39667255,-0.32123238,2.379239,-2.697599,0.08431577,-0.5299791,0.50669265,-0.09646833,-0.5342988,0.24287769,0.0125178285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
